p_id,p_model,p_stock,p_shipping,gm_show_qty_info,p_status,p_startpage,p_sorting,p_startpage_sort
737,1001004,0,2,1,0,0,None,None
741,1501013,0,2,1,0,0,None,None
742,1501014,0,2,1,0,0,None,None
743,1501015,0,2,1,0,0,None,None
744,1309013,0,2,1,0,0,None,None
745,1309014,0,2,1,0,0,None,None
746,1301008,0,2,1,0,0,None,None
747,1301009,0,2,1,0,0,None,None
748,1301010,0,2,1,0,0,None,None
749,1301011,0,2,1,0,0,None,None
750,1301012,0,9,0,1,0,None,None
751,1301013,0,9,0,1,0,None,None
752,1301014,0,9,0,1,0,None,None
753,1116037,100,2,0,1,0,None,None
754,1116038,100,2,0,1,0,None,None
755,1114026,0,2,1,0,0,None,None
758,1105046,10,2,0,1,0,None,None
759,1105047,4,2,1,1,0,None,None
760,1105048,100,2,0,1,0,None,None
761,1104036,0,2,1,0,0,None,None
762,1104037,0,2,1,0,0,None,None
763,1104038,0,2,1,0,0,None,None
764,1104039,0,2,1,0,0,None,None
765,1104040,10,2,0,1,0,None,None
793,1104046,0,2,1,0,0,None,None
794,1108022,100,2,0,1,0,None,None
795,1108023,100,2,0,1,0,None,None
808,1108028,0,2,1,0,0,None,None
809,1501022,0,9,0,1,0,None,None
813,1115023,0,2,1,0,0,None,None
820,1206009,100,2,0,1,0,None,None
821,1206010,100,2,0,1,0,None,None
822,1206011,100,2,0,1,0,None,None
843,1112019,7,2,1,1,0,None,None
844,1112020,10,2,0,1,0,None,None
854,1111004,100,2,0,1,0,None,None
855,1001008,100,2,0,1,0,None,None
862,1112011,100,2,0,1,0,None,None
883,1112032,10,2,0,1,0,None,None
908,1112033,100,2,0,1,0,None,None
932,1114001,0,2,1,0,0,None,None
936,1114005,0,2,1,0,0,None,None
938,1116039,100,2,0,1,0,None,None
939,1116040,100,2,0,1,0,None,None
940,1116041,100,2,0,1,0,None,None
941,1116042,10,2,0,1,0,None,None
942,1116043,10,2,0,1,0,None,None
955,1104051,50,2,0,1,0,None,None
956,1104052,100,2,0,1,0,None,None
957,1104053,100,2,0,1,0,None,None
962,1105049,0,9,0,1,0,None,None
990,1104054,10,2,0,1,0,None,None
991,1104055,50,2,0,1,0,None,None
993,1114031,100,2,0,1,0,None,None
996,1114034,100,2,0,1,0,None,None
998,1104056,100,2,0,1,0,None,None
999,1104057,100,2,0,1,0,None,None
1000,1104058,100,2,0,1,0,None,None
1001,1114038,100,2,0,1,0,None,None
1002,1114039,100,2,0,1,0,None,None
1003,1115026,10,2,0,1,0,None,None
1004,1104059,100,2,0,1,0,None,None
1005,1104060,100,2,0,1,0,None,None
1007,1114044,100,2,0,1,0,None,None
1008,1114045,100,2,0,1,0,None,None
1009,1114046,100,2,0,1,0,None,None
1010,1114047,0,2,1,0,0,None,None
1011,1114048,50,2,0,1,0,None,None
1012,1114049,100,2,0,1,0,None,None
1013,1112022,100,2,0,1,0,None,None
1017,1115005,100,2,0,1,0,None,None
1027,1115015,100,2,0,1,0,None,None
1029,1115017,0,2,1,0,0,None,None
1036,1115024,100,2,0,1,0,None,None
1063,1112030,10,2,0,1,0,None,None
1064,1112031,100,2,0,1,0,None,None
1087,1116022,100,2,0,1,0,None,None
1093,1116028,100,2,0,1,0,None,None
1097,1014001,0,2,1,0,0,None,None
1098,1014002,0,2,1,0,0,None,None
1099,1014003,0,2,1,0,0,None,None
1100,1014004,0,2,1,0,0,None,None
1101,1116035,100,2,0,1,0,None,None
1102,1116036,100,2,0,1,0,None,None
1117,1116052,50,2,0,1,0,None,None
1121,1116057,50,2,0,1,0,None,None
1124,1116061,100,2,0,1,0,None,None
1125,1116062,100,2,0,1,0,None,None
1128,1116065,50,2,0,1,0,None,None
1162,1118001,0,2,1,0,0,None,None
1168,1118007,0,2,1,0,0,None,None
1169,1118008,10,2,0,1,0,None,None
1170,1118009,0,2,1,0,0,None,None
1173,1118012,100,2,0,1,0,None,None
1174,1118013,0,2,1,0,0,None,None
1185,1206001,100,2,0,1,0,None,None
1456,1004007,0,2,1,0,0,None,None
1457,1004009,0,2,1,0,0,None,None
1463,1011019,100,2,0,1,0,None,None
1464,1011020,100,2,0,1,0,None,None
1465,1011021,0,9,0,1,0,None,None
1466,1011022,50,2,0,1,0,None,None
1467,1015007,50,2,0,1,0,None,None
1468,1015021,50,2,0,1,0,None,None
1473,1112016,100,2,0,1,0,None,None
1475,1114014,100,2,0,1,0,None,None
1480,1301005,0,2,1,0,0,None,None
1481,1301005,0,2,1,0,0,None,None
1482,1301005,0,2,1,0,0,None,None
1483,1301005,0,2,1,0,0,None,None
1484,1304001,0,2,1,0,0,None,None
1485,1304007,0,2,1,0,0,None,None
1486,1304008,0,2,1,0,0,None,None
1487,1304009,0,2,1,0,0,None,None
1488,1304010,0,2,1,0,0,None,None
1489,1304011,0,2,1,0,0,None,None
1490,1304012,0,2,1,0,0,None,None
1491,1304013,0,2,1,0,0,None,None
1492,1304014,0,2,1,0,0,None,None
1493,1309003,0,2,1,0,0,None,None
1494,1309009,0,2,1,0,0,None,None
1495,1309010,0,2,1,0,0,None,None
1496,1309011,0,2,1,0,0,None,None
1497,1309012,0,2,1,0,0,None,None
1498,1309004,0,2,1,0,0,None,None
1499,1309005,0,2,1,0,0,None,None
1500,1309006,0,9,0,1,0,None,None
1501,1309007,0,2,1,0,0,None,None
1502,1309008,0,2,1,0,0,None,None
1505,1106047,50,2,0,1,0,None,None
1506,1106048,10,2,0,1,0,None,None
1508,1106050,100,2,0,1,0,None,None
1509,1105053,50,2,0,1,0,None,None
1512,1106051,100,2,0,1,0,None,None
1521,1105063,10,2,0,1,0,None,None
1522,1105064,10,2,0,1,0,None,None
1524,1105066,0,2,1,0,0,None,None
1525,1105067,100,2,0,1,0,None,None
1527,1106053,100,2,0,1,0,None,None
1528,1013017,100,2,0,1,0,None,None
1529,1013018,100,2,0,1,0,None,None
1530,1013019,100,2,0,1,0,None,None
1531,1013020,100,2,0,1,0,None,None
1532,1013021,100,2,0,1,0,None,None
1535,1502003,10,2,0,1,0,None,None
1537,1502005,100,2,0,1,0,None,None
1538,1105069,7,2,1,1,0,None,None
1539,1110025,0,2,1,0,0,None,None
1544,1103007,50,2,0,1,0,None,None
1545,1103008,0,9,0,1,0,None,None
1546,1103009,100,2,0,1,0,None,None
1548,1114028,10,2,0,1,0,None,None
1549,1114029,10,2,0,1,0,None,None
1550,1116046,0,9,0,1,0,None,None
1551,1116047,100,2,0,1,0,None,None
1552,1116048,100,2,0,1,0,None,None
1553,1116049,100,2,0,1,0,None,None
1554,1116050,100,2,0,1,0,None,None
1556,1316001,100,2,0,1,0,None,None
1557,1316002,100,2,0,1,0,None,None
1558,1316003,100,2,0,1,0,None,None
1559,1316004,100,2,0,1,0,None,None
1563,1316005,100,2,0,1,0,None,None
1564,1316006,100,2,0,1,0,None,None
